protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,1,7,0,26,1,7,0,0,3,0,1,0,0,0,1,4774
0,0,1,32,163,51,1,9,0,1,5,0,1,0,0,0,1,4811
0,0,1,35,0,465,1,12,0,0,6,1,0,0,0,0,1,4749
0,0,1,232,452,1553,1,13,0,0,14,0,1,0,0,0,1,4771
0,0,1,1,0,58,1,13,0,0,10,0,0,0,0,0,1,4746
0,0,1,0,15,1,1,11,0,1,12,1,0,0,0,0,1,382
0,0,1,579,2007,2672,1,13,1,1,18,0,1,0,0,1,1,4729
0,0,1,3,0,8,1,10,0,0,7,0,0,0,0,0,1,4669
0,0,1,29,0,93,1,10,1,0,14,0,1,0,0,0,1,4623
0,0,1,239,341,192,1,6,0,1,7,0,1,4,1,0,0,4607
0,0,1,10,0,571,1,14,1,1,12,0,1,0,0,0,0,4624
0,0,1,11,0,672,1,9,0,1,10,0,1,0,0,0,1,4609
0,0,1,80,0,301,1,13,0,1,18,0,0,0,0,0,1,4593
0,0,1,116,385,323,1,9,0,1,11,0,1,0,0,0,1,4604
0,0,1,511,0,3688,1,14,0,0,13,0,1,0,0,1,1,4543
0,0,1,47,0,397,1,15,1,1,20,0,1,0,0,0,1,4575
0,0,1,104,0,2108,1,9,0,0,15,0,1,0,0,0,1,4542
0,0,1,4,0,112,1,14,0,0,20,0,0,0,0,0,1,4537
0,0,1,162,0,564,1,9,1,0,13,0,0,0,0,0,1,4522
0,0,1,6,0,27,1,8,0,0,12,0,1,0,0,0,0,4524
0,0,1,7,0,26,1,6,0,0,2,0,0,0,0,0,1,4497
0,0,1,5,0,102,1,13,0,1,13,0,1,0,0,0,1,4509
0,0,1,84,1415,5344,1,11,0,1,15,0,1,0,0,0,0,4491
0,0,1,693,0,33989,1,7,1,1,4,0,1,0,0,0,0,4469
0,0,1,0,0,4,1,6,1,0,1,0,1,0,0,0,0,1088
0,0,1,14,0,106,1,15,0,0,8,0,0,0,0,1,0,4437
0,0,1,8,0,131,1,11,0,0,14,0,1,0,0,0,1,4451
0,0,1,15,0,140,1,8,0,0,16,0,1,0,0,1,1,4457
0,0,1,7,0,15,1,7,0,0,13,0,0,0,0,0,1,4435
