protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days,average_tweets_per_day
0,1,1,108878036,245,11778,0,9,0,0,10,0,1,0,0,0,1,4978,2.366010445962234
0,1,1,113825417,281733,31332,0,12,0,0,13,0,1,0,0,0,1,4942,6.339943342776204
0,1,1,91736362,0,742,0,13,0,0,12,0,1,0,0,0,1,5054,0.14681440443213298
0,1,1,107130421,982,10656,0,7,0,0,7,0,1,0,0,0,1,4754,2.241480858224653
0,1,1,84952188,117031,9954,0,8,0,0,9,0,1,1,0,1,1,5309,1.8749293652288566
0,1,1,62857419,337,4377,0,11,0,0,17,0,1,0,0,0,1,4945,0.8851365015166835
0,1,1,77112602,26044,24328,0,12,0,1,15,0,1,2,0,0,1,5168,4.707430340557275
0,1,1,56143731,360670,5641,0,13,0,0,17,0,1,1,1,0,0,5129,1.0998245271982843
0,1,1,104597302,62,3829,0,9,0,1,17,0,1,0,0,1,1,4499,0.851078017337186
0,1,1,74103428,122,36001,0,13,0,1,14,0,1,3,0,0,1,4951,7.271460311048273
0,1,1,53326579,232,7957,0,7,0,0,7,0,1,0,0,1,1,4875,1.6322051282051282
0,1,1,66465754,1083,5484,0,11,0,0,12,0,1,0,0,1,1,4961,1.1054222938923604
0,1,1,45517341,1872,18020,0,3,0,1,3,0,0,0,1,0,1,4729,3.8105307676041447
0,1,1,54077391,1,17808,0,8,0,0,11,0,1,0,0,0,1,4981,3.57518570568159
0,1,1,51305579,10992,14369,0,11,0,0,12,0,1,0,0,0,1,5195,2.7659287776708372
0,1,1,43152538,317,13649,0,5,0,1,13,0,1,0,0,0,1,5006,2.726528166200559
0,1,1,31603989,470,8261,0,4,0,1,4,1,1,0,0,0,1,4935,1.6739614994934144
0,1,1,39860152,600,1816,0,5,0,1,6,0,1,0,0,0,0,4942,0.367462565762849
0,1,1,38379120,1807,5687,0,12,1,1,13,0,1,0,0,0,1,4430,1.283747178329571
0,1,1,31039274,3355,9747,0,12,0,0,13,0,1,0,1,1,1,4362,2.2345254470426408
0,1,1,61013530,506,4125,0,9,0,1,10,0,1,0,0,0,1,4854,0.8498145859085291
0,1,1,52419662,184,8742,0,9,0,1,12,0,1,0,1,1,1,4964,1.7610797743755036
0,1,1,35109538,55,2513,0,10,0,1,17,0,1,0,0,1,1,4611,0.5450010843634786
0,1,1,43182309,91,4988,0,9,0,1,10,0,1,0,0,0,1,4666,1.0690098585512215
0,1,1,29393912,231,5309,0,4,0,1,4,0,1,0,0,0,1,4820,1.1014522821576764
0,1,1,27646968,1,375,0,5,0,1,5,0,1,0,0,1,1,4422,0.08480325644504749
0,1,1,41138254,5737,18412,0,13,0,1,11,0,1,0,0,0,1,4649,3.96042159604216
