verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,1,123,1343,761,0,7,0,1,23,0,1,0,0,0,1,4866
0,0,1150,2133,1136,0,9,0,1,12,0,1,2,1,0,1,4659
0,0,380,5007,2548,1,15,0,0,14,0,1,0,0,0,0,3015
1,0,5582041,2741,40509,0,10,0,1,14,0,1,0,0,0,1,4900
1,0,131099,608,84638,0,13,0,0,9,0,1,0,0,0,1,4928
0,1,165,1083,10811,0,9,0,1,9,0,1,0,0,0,0,4957
1,1,891054,199,7567,0,11,0,1,12,0,1,0,0,0,1,3890
0,0,24,41,3620,1,11,0,1,12,0,1,0,0,0,1,2531
0,1,25,132,162,0,8,0,1,12,0,1,0,0,0,1,1948
0,0,380,176,6868,1,14,0,1,20,0,1,0,0,0,1,1937
1,0,5398408,1035,19298,0,5,0,1,12,0,1,0,0,0,1,4184
0,0,471,929,67527,0,8,0,1,36,0,0,0,0,0,1,4813
0,1,111570,304,8032,0,12,0,0,13,0,1,0,0,0,1,4234
1,1,35327,494,40300,0,4,0,0,4,0,1,0,0,1,1,5178
1,1,4395160,1,1071,0,9,0,0,11,0,1,0,0,0,1,4618
1,1,2259244,14651,563817,1,6,1,0,6,0,1,0,0,1,1,4996
0,1,204,596,5311,1,14,0,1,17,0,1,0,0,0,1,4852
0,1,470,838,128113,0,11,1,1,11,0,1,0,0,0,1,3454
1,1,1654040,1005,79979,0,5,0,0,14,0,1,2,0,0,1,5931
0,1,3,0,542,1,7,0,0,11,0,1,0,0,0,0,4929
0,0,165995,91,8509,0,12,0,0,4,0,1,0,0,0,0,3898
0,1,156,725,4278,0,13,0,0,20,0,1,0,0,0,1,3664
0,1,51,0,256,0,9,1,1,9,0,1,0,0,0,1,4103
1,1,1146323,2543,16457,0,15,0,1,16,0,1,0,0,0,1,4572
1,1,71881,2983,46497,0,6,0,0,15,0,1,0,0,0,1,4618
0,1,91,264,3487,0,9,0,1,14,0,1,0,0,0,1,4628
1,1,894701,339,7665,0,15,0,1,20,0,1,1,0,0,1,3663
0,1,684,768,4813,1,10,0,1,5,0,1,0,0,1,1,4226
0,1,6,324,3069,1,11,0,0,8,0,1,0,0,0,1,4558
0,1,701,261,18259,0,10,0,0,5,0,0,0,0,0,0,3347
0,1,286,468,26870,0,9,0,1,13,0,1,0,0,0,1,4823
0,1,106,504,2339,0,10,1,0,11,0,1,0,0,0,1,2966
0,0,5,44,2575,1,5,1,0,5,0,1,0,0,0,0,3734
0,1,28,39,880,1,10,0,0,10,0,0,0,0,0,0,3742
0,1,40,0,2740,1,6,0,1,1,0,0,0,0,0,0,3375
0,0,45,85,3157,1,5,0,0,5,0,1,0,0,0,0,4272
